project,repository,category,id,mode,referenceRuntimeMode,implementation,tests,knownLimitations
"RCL","xingxuling/RCL","domain","metacomputation","none","native","src/runtime.mjs#meta-computational","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","domain","computation","none","none","","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","No runtime fixture covered this module."
"RCL","xingxuling/RCL","domain","physical","none","native","src/runtime.mjs#physical","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","domain","energy","none","native","src/runtime.mjs#energy","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","domain","elemental","none","native","src/runtime.mjs#elemental","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","domain","perception","none","native","src/runtime.mjs#perceptual","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","domain","neural","none","native","src/runtime.mjs#neural","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","domain","embodiment","none","native","src/runtime.mjs#embodied","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","domain","life","none","native","src/runtime.mjs#living","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
"RCL","xingxuling/RCL","domain","genetic","none","native","src/runtime.mjs#genetic","runtime-invocation:examples/eight-domain-foundation.rcl; runtime-result-shape:examples/eight-domain-foundation.rcl; runtime-invocation:examples/foundation-closure.rcl; runtime-result-shape:examples/foundation-closure.rcl; runtime-invocation:examples/cognitive-creation-agent.rcl; runtime-result-shape:examples/cognitive-creation-agent.rcl; runtime-invocation:examples/meta-runtime-foundation.rcl; runtime-result-shape:examples/meta-runtime-foundation.rcl; runtime-coverage; behavior-mutation; deterministic-replay","Reference Runtime is covered; Native VM lowering still requires an explicit provider and is not counted as native conformance."
